176,"C'Geb1952'Mtr04'Fl","Durchfluss"
177,"C'Geb1952'Mtr04'Pwr","Leistung"
178,"C'Geb1952'Mtr04'TFl","Vorlauftemperatur"
179,"C'Geb1952'Mtr04'TRt","Rücklauftemperatur"
180,"C'Geb1952'Mtr05'Fl","Durchfluss"
181,"C'Geb1952'Mtr05'Pwr","Leistung"
182,"C'Geb1952'Mtr05'TFl","Vorlauftemperatur"
183,"C'Geb1952'Mtr05'TRt","Rücklauftemperatur"
184,"C'Cgen'ActvSIEME","Siemens Controller aktiv"
185,"C'Cgen'CHyCoTFl","Kälte Hydraulische Weiche Vorlauftemperatur TI58"
186,"C'Cgen'CHyCoTRt","Kälte Hydraulische Weiche Rücklauftemperatur TI57"
187,"C'Cgen'CStoniv","Kälte Eisspeicher Niveau UB66 (Rohwert)"
188,"C'Cgen'CStonivMW","Kälte Eisspeicher (Mittelwert)"
189,"C'Cgen'CStonivSc","Kälte Eisspeicher Niveau UB66 (Scaliert)"
190,"C'Cgen'CStoTFl","Kälte Eisspeicher Vorlauftempertatur TIC30"
191,"C'Cgen'CStoTRt","Kälte Eisspeicher Rücklauftempertatur TI11"
192,"C'Cgen'Dmpcls","Klappe 8 zu"
193,"C'Cgen'Dmpopn","Klappe 8 auf"
194,"C'Cgen'EnWAGO","Freigabge durch WAGO für SIEMENS Ansteuerung"
195,"C'Cgen'FbActvSIE","Rückmeldung vom Siemens Controller aktiv"
196,"C'Cgen'KM1Fb","Kältemaschine 1 Rückmeldung WAGO"
197,"C'Cgen'KM2Fb","Kältemaschine 2 Rückmeldung WAGO"
198,"C'Cgen'LiveEMS","Live Bit von EMS"
199,"C'Cgen'OpSta","Betriebszustand"
200,"C'Cgen'PuEntl","Entladepumpe Rückmeldung WAGO - Pumpe Eisspeicher"
201,"C'Cgen'SwiEMSMO1","Kaelte EMS Anlg.Schalter"
202,"C'Cgen'SwiTPGLT","Betriebsartenschalter TP/GLT"
203,"C'Cgen'SwiWago","Kaelte TP / GLT Anlg.Schalter"
204,"C'Cgen'TFlKN","Kaelte Netz Temp. fuehler VL TI52"
205,"C'Cgen'TOaWAGO","Aussentemperatur Wago"
206,"C'Geb1901'MtrC101'Fl","Durchfluss"
207,"C'Geb1901'MtrC101'Pwr","Leistung"
208,"C'Geb1901'MtrC101'TFl","Vorlauftemperatur"
209,"C'Geb1901'MtrC101'TRt","Rücklauftemperatur"
210,"C'Geb1901'MtrC102'Fl","Durchfluss"
211,"C'Geb1901'MtrC102'Pwr","Leistung"
